Game,Score
Ratchet &amp; Clank: Full Frontal Assault,6.4
Page Chronica,4.1
Miner Wars 2081,5
Guardians of Middle-earth,7.5
The Elder Scrolls V: Skyrim -- Dragonborn,8.8
Baldur's Gate -- Enhanced Edition,6
Black Knight Sword,6.9
Black Knight Sword,6.9
The Walking Dead: A Telltale Game Series -- Season One,9.3
The Walking Dead: A Telltale Game Series -- Season One,9.3
The Walking Dead: A Telltale Game Series -- Season One,9.3
The Walking Dead -- Game of the Year Edition,9.3
The Walking Dead: A Telltale Game Series -- Season One,9.3
The Walking Dead: A Telltale Game Series -- Season One,9.3
The Walking Dead -- Game of the Year Edition,9.3
The Walking Dead: A Telltale Game Series -- Season One,9.3
The Walking Dead -- Game of the Year Edition,9.3
